timestamp,sim_hours,P_A_kW,comfort_violation_A_degCh,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,scheduled_vars_A,under_attack_A,bcp_A,bahu_A,Tsa_A,Vcore_A,P_B_kW,P_B_kW_original,SOC_B,TES_mode_B,comfort_violation_B_degCh,T_core_B,T_east_B,T_north_B,T_south_B,T_west_B,scheduled_vars_B,under_attack_B,P_total_kW,feeder_capacity_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,attack_active,attack_name
18340200,6.5,4.90E-02,0,24.05555556,24.14814815,23.83333333,23.75925926,23.87037037,"bcp,bahu",FALSE,0,0,13,0.5,15.4234436,7.711721801,0.750435704,-1,0,24.04993887,24.29264648,23.88092804,23.89100676,23.96894732,uMod,FALSE,1.55E+01,50,25.70573937,22.28827819,FALSE,FALSE,
18341100,6.75,4.90E-02,0,24.07407407,24.2037037,23.87037037,23.77777778,23.94444444,"bcp,bahu",FALSE,0,0,13,0.5,15.4234436,7.711721801,0.750435704,-1,0,24.04993887,24.29264648,23.88092804,23.89100676,23.96894732,uMod,FALSE,1.55E+01,50,25.70573935,22.28827819,FALSE,FALSE,
18342000,7,4.110333333,0,24.11111111,24.27777778,23.96296296,23.85185185,23.98148148,"bcp,bahu",FALSE,1,1,13,0.5,7.02760477,3.513802385,0.734106281,1,0,22.84523735,23.20644095,22.94377755,22.94545719,22.83374495,uMod,FALSE,1.11E+01,50,40.21793309,17.93462007,FALSE,FALSE,
18342900,7.25,3.421666667,0,24.05555556,24.16666667,23.83333333,23.68518519,23.77777778,"bcp,bahu",FALSE,1,1,13,0.5,7.02760477,3.513802385,0.734106281,1,0,22.84523735,23.20644095,22.94377755,22.94545719,22.83374495,uMod,FALSE,1.04E+01,50,64.09274023,10.77217793,FALSE,FALSE,
18343800,7.5,4.023333333,0,24,23.92592593,23.75925926,23.61111111,23.77777778,"bcp,bahu",FALSE,1,1,13,0.5,7.02760477,3.513802385,0.734106281,1,0,22.84523735,23.20644095,22.94377755,22.94545719,22.83374495,uMod,FALSE,1.11E+01,50,66.80348944,9.958953168,FALSE,FALSE,
18344700,7.75,5.594,0,24,23.81481481,23.77777778,23.66666667,23.77777778,"bcp,bahu",FALSE,1,1,13,0.5,7.02760477,3.513802385,0.734106281,1,0,22.84523735,23.20644095,22.94377755,22.94545719,22.83374495,uMod,FALSE,1.26E+01,50,64.13990734,10.7580278,FALSE,FALSE,
18345600,8,5.553666667,0,23.93518519,23.72222222,23.7962963,23.68518519,23.87037037,"bcp,bahu",FALSE,1,1,13,0.5,8.479174184,4.239587092,0.713122373,1,0,23.50966719,23.99940037,23.64154456,23.69541228,23.4993559,uMod,FALSE,1.40E+01,50,65.5062379,10.34812863,FALSE,FALSE,
18346500,8.25,6.597333333,0,24.00925926,24,24.01851852,23.92592593,24.11111111,"bcp,bahu",FALSE,1,1,13,0.5,8.479174184,4.239587092,0.713122373,1,0,23.50966719,23.99940037,23.64154456,23.69541228,23.4993559,uMod,FALSE,1.51E+01,50,66.74169473,9.977491581,FALSE,FALSE,
18347400,8.5,7.313333333,0,24.26851852,24.35185185,24.2037037,24.11111111,24.44444444,"bcp,bahu",FALSE,1,1,13,0.5,8.479174184,4.239587092,0.713122373,1,0,23.50966719,23.99940037,23.64154456,23.69541228,23.4993559,uMod,FALSE,1.58E+01,50,67.87334423,9.637996732,FALSE,FALSE,
18348300,8.75,7.148333333,0,24.56481481,24.5,24.53703704,24.46296296,24.75925926,"bcp,bahu",FALSE,1,1,13,0.5,8.479174184,4.239587092,0.713122373,1,0,23.50966719,23.99940037,23.64154456,23.69541228,23.4993559,uMod,FALSE,1.56E+01,50,69.49479263,9.151562211,FALSE,FALSE,
18349200,9,12.13166667,0,24.65740741,24.44444444,24.18518519,24.16666667,24.92592593,"bcp,bahu",FALSE,1,1,13,0.5,9.088041704,4.544020852,0.689515714,1,0,23.77804265,24.23490461,23.97055116,24.2057472,23.83668638,uMod,FALSE,2.12E+01,50,72.2408529,8.327744129,FALSE,FALSE,
18350100,9.25,20.25066667,0,24.26851852,23.44444444,23.24074074,23.22222222,24.72222222,"bcp,bahu",FALSE,1,1,13,0.5,9.088041704,4.544020852,0.689515714,1,0,23.77804265,24.23490461,23.97055116,24.2057472,23.83668638,uMod,FALSE,2.93E+01,50,72.2430441,8.32708677,FALSE,FALSE,
18351000,9.5,25.06466667,0,23.69444444,22.7037037,22.5,22.51851852,23.75925926,"bcp,bahu",FALSE,1,1,13,0.5,9.088041704,4.544020852,0.689515714,1,0,23.77804265,24.23490461,23.97055116,24.2057472,23.83668638,uMod,FALSE,3.42E+01,50,72.13186265,8.360441204,FALSE,FALSE,
18351900,9.75,25.45566667,0,23.56481481,22.64814815,22.40740741,22.46296296,23.22222222,"bcp,bahu",FALSE,1,1,13,0.5,9.088041704,4.544020852,0.689515714,1,0,23.77804265,24.23490461,23.97055116,24.2057472,23.83668638,uMod,FALSE,3.45E+01,50,74.97352271,7.507943188,FALSE,FALSE,
18352800,10,25.66433333,0,23.50925926,22.59259259,22.35185185,22.44444444,22.98148148,"bcp,bahu",FALSE,1,1,13,0.5,8.963706362,4.481853181,0.661350709,1,0,23.85095887,24.14523828,24.1339797,24.22802095,24.00717117,uMod,FALSE,3.46E+01,50,76.85423324,6.943730028,FALSE,FALSE,
18353700,10.25,23.73133333,0,23.49074074,22.62962963,22.37037037,22.51851852,22.92592593,"bcp,bahu",FALSE,1,1,13,0.5,8.963706362,4.481853181,0.661350709,1,0,23.85095887,24.14523828,24.1339797,24.22802095,24.00717117,uMod,FALSE,3.27E+01,50,78.40904952,6.477285145,FALSE,FALSE,
18354600,10.5,20.34133333,0,23.80555556,23.22222222,22.90740741,23.09259259,23.42592593,"bcp,bahu",FALSE,1,1,13,0.5,8.963706362,4.481853181,0.661350709,1,0,23.85095887,24.14523828,24.1339797,24.22802095,24.00717117,uMod,FALSE,2.93E+01,50,79.45460241,6.163619278,FALSE,FALSE,
18355500,10.75,20.57666667,0,24.02777778,23.40740741,23.14814815,23.33333333,23.64814815,"bcp,bahu",FALSE,1,1,13,0.5,8.963706362,4.481853181,0.661350709,1,0,23.85095887,24.14523828,24.1339797,24.22802095,24.00717117,uMod,FALSE,2.95E+01,50,78.74190217,6.377429348,FALSE,FALSE,
18356400,11,20.72433333,0,24.10185185,23.44444444,23.22222222,23.44444444,23.68518519,"bcp,bahu",FALSE,1,1,13,0.5,5.45169009,2.725845045,0.629738846,1,0,23.89181942,24.0521021,24.05633748,24.36843699,24.12258683,uMod,FALSE,2.62E+01,50,71.55139806,8.534580583,FALSE,FALSE,
18357300,11.25,21.17933333,0,24.13888889,23.5,23.27777778,23.53703704,23.68518519,"bcp,bahu",FALSE,1,1,13,0.5,5.45169009,2.725845045,0.629738846,1,0,23.89181942,24.0521021,24.05633748,24.36843699,24.12258683,uMod,FALSE,2.66E+01,50,73.10656238,8.068031286,FALSE,FALSE,
18358200,11.5,23.14,0,24.13888889,23.27777778,23.11111111,23.44444444,23.75925926,"bcp,bahu",FALSE,1,1,13,0.5,5.45169009,2.725845045,0.629738846,1,0,23.89181942,24.0521021,24.05633748,24.36843699,24.12258683,uMod,FALSE,2.86E+01,50,73.49351463,7.951945612,FALSE,FALSE,
18359100,11.75,23.90866667,0,23.93518519,23,22.88888889,23.27777778,23.61111111,"bcp,bahu",FALSE,1,1,13,0.5,5.45169009,2.725845045,0.629738846,1,0,23.89181942,24.0521021,24.05633748,24.36843699,24.12258683,uMod,FALSE,2.94E+01,50,73.80355165,7.858934505,FALSE,FALSE,
18360000,12,23.266,0,23.91666667,22.94444444,22.85185185,23.27777778,24.01851852,"bcp,bahu",FALSE,1,1,13,0.5,5.584499332,2.792249666,0.596886239,1,0,23.83567963,23.91708319,24.03202286,24.38727266,24.04983856,uMod,FALSE,2.89E+01,50,73.63682792,7.908951624,FALSE,FALSE,
