timestamp,sim_hours,P_A_kW,comfort_violation_A_degCh,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,V_core_A,V_east_A,V_north_A,V_south_A,V_west_A,scheduled_vars_A,under_attack_A,bcp_A,bahu_A,Tsa_A,Vcore_A,P_B_kW,SOC_B,TES_mode_B,comfort_violation_B_degCh,T_core_B,T_east_B,T_north_B,T_south_B,T_west_B,V_core_B,V_east_B,V_north_B,V_south_B,V_west_B,scheduled_vars_B,under_attack_B,P_total_kW,feeder_capacity_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,attack_active,attack_name
18334800,5.0,4.826183893434506e-11,0.0,23.93136803372863,23.742581897562104,23.690359888354408,23.753940198241196,23.77263226988265,0.00047144192761300384,9.437885589251246e-05,9.938548004760868e-05,9.938548004760868e-05,7.340577680528743e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711357954532268,0.714448254436586,-1,0.0,23.954861964415727,23.87237146083686,23.74450024421202,23.7797595789188,23.790797886027406,0.00045079931410310213,9.02463718439285e-05,9.503377534560061e-05,9.503377534560056e-05,7.019162254527781e-05,uMod,False,7.71135795458053,30.0,25.704526515268434,22.288642045419472,False,False,
18335700,5.25,4.7714056587383374e-11,0.0,23.93558514852549,23.76041619148714,23.752068411022265,23.713897826155915,23.775158934119247,0.00046875874176187675,9.38417038148786e-05,9.881983304370752e-05,9.881983304379045e-05,7.298799185595103e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711357954532268,0.714448254436586,-1,0.0,23.954861964415727,23.87237146083686,23.74450024421202,23.7797595789188,23.790797886027406,0.00045079931410310213,9.02463718439285e-05,9.503377534560061e-05,9.503377534560056e-05,7.019162254527781e-05,uMod,False,7.711357954579982,30.0,25.704526515266608,22.28864204542002,False,False,
18336600,5.5,4.732317219188145e-11,0.0,23.944327207860113,23.813399823307293,23.771279045167717,23.751710490912217,23.743317413013187,0.0004668346844919023,9.345652313193363e-05,9.841421923616745e-05,9.841421923446284e-05,7.268840688026278e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711357954532268,0.714448254436586,-1,0.0,23.954861964415727,23.87237146083686,23.74450024421202,23.7797595789188,23.790797886027406,0.00045079931410310213,9.02463718439285e-05,9.503377534560061e-05,9.503377534560056e-05,7.019162254527781e-05,uMod,False,7.711357954579591,30.0,25.704526515265304,22.28864204542041,False,False,
18337500,5.75,4.754381427553386e-11,0.0,23.95999813204247,23.881022309015577,23.748721447253956,23.786959804020682,23.79839203735662,0.0004679217034956177,9.367413553300696e-05,9.864337557341235e-05,9.864337557363689e-05,7.285766097013368e-05,"bcp,bahu",False,0,0,13.0,0.5,7.711357954532268,0.714448254436586,-1,0.0,23.954861964415727,23.87237146083686,23.74450024421202,23.7797595789188,23.790797886027406,0.00045079931410310213,9.02463718439285e-05,9.503377534560061e-05,9.503377534560056e-05,7.019162254527781e-05,uMod,False,7.711357954579812,30.0,25.70452651526604,22.28864204542019,False,False,
18338400,6.0,4.498791931121504e-09,0.0,23.974658892815057,23.99258116079136,23.75932507355219,23.81122998571965,23.827550894338117,0.004551700693226585,0.0009112136161959592,0.0009595518171585508,0.0009595518171585508,0.0007087217014214268,"bcp,bahu",False,0,0,13.0,0.5,7.711721801081758,0.7504357044766572,-1,0.0,24.049938867604453,24.292646475416007,23.88092804140541,23.891006759144943,23.968947322698625,0.0004517568848270645,9.043806974788991e-05,9.523564246964215e-05,9.523564246964089e-05,7.034072091502553e-05,uMod,False,7.71172180558055,30.0,25.705739351935165,22.28827819441945,False,False,
18339300,6.25,6.702530868577827e-09,0.0,23.992901897605293,24.11986108713836,23.789809873723016,23.836820821228912,23.86552762401425,0.005555781015023532,0.0011122223651060343,0.001171223709283951,0.001171223709283951,0.0008650618394979603,"bcp,bahu",False,0,0,13.0,0.5,7.711721801081758,0.7504357044766572,-1,0.0,24.049938867604453,24.292646475416007,23.88092804140541,23.891006759144943,23.968947322698625,0.0004517568848270645,9.043806974788991e-05,9.523564246964215e-05,9.523564246964089e-05,7.034072091502553e-05,uMod,False,7.711721807784289,30.0,25.705739359280965,22.28827819221571,False,False,
18340200,6.5,9.573140308231442e-09,0.0,24.01973747796154,24.212714841666468,23.8300639439081,23.868109279987948,23.917089534184242,0.0066397686362988425,0.0013292279081763615,0.0013997409959862058,0.0013997409959862058,0.0010338439285710987,"bcp,bahu",False,0,0,13.0,0.5,7.711721801081758,0.7504357044766572,-1,0.0,24.049938867604453,24.292646475416007,23.88092804140541,23.891006759144943,23.968947322698625,0.0004517568848270645,9.043806974788991e-05,9.523564246964215e-05,9.523564246964089e-05,7.034072091502553e-05,uMod,False,7.711721810654899,30.0,25.705739368849663,22.2882781893451,False,False,
18341100,6.75,4.7373100340772894e-09,0.0,24.05312592931415,24.29376191458482,23.88390828212266,23.912135497510747,23.974904404683002,0.004670805278578139,0.0009350573898196036,0.000984660458960992,0.000984660458960992,0.0007272668587463961,"bcp,bahu",False,0,0,13.0,0.5,7.711721801081758,0.7504357044766572,-1,0.0,24.049938867604453,24.292646475416007,23.88092804140541,23.891006759144943,23.968947322698625,0.0004517568848270645,9.043806974788991e-05,9.523564246964215e-05,9.523564246964089e-05,7.034072091502553e-05,uMod,False,7.711721805819068,30.0,25.705739352730227,22.288278194180933,False,False,
18342000,7.0,8.55157754142951,0.0,23.367685549013117,23.47215625276874,23.25287517893628,23.237048593340887,23.187324858530587,0.5014944623704498,0.16145998800084838,0.17002514243466824,0.17002514243466824,0.12557999066732653,"bcp,bahu",False,1,1,13.0,0.5,3.5138023849593814,0.7341062806849891,1,0.0,22.84523734741498,23.206440945344923,22.943777547525883,22.945457189835338,22.83374495161246,0.6781031640834494,0.13575076176895237,0.14295208919041644,0.14295208919041638,0.10558392582029634,uMod,False,12.065379926388891,30.0,40.21793308796297,17.934620073611107,False,False,
18342900,7.25,15.714019682982789,0.0,22.891241580265955,22.192403650247684,22.19618097791539,22.183405340613888,22.120912413857013,0.5144118295853333,0.4999939068826424,0.5002977625830588,0.5002977625830588,0.40423111669126705,"bcp,bahu",False,1,1,13.0,0.5,3.5138023849593814,0.7341062806849891,1,0.0,22.84523734741498,23.206440945344923,22.943777547525883,22.945457189835338,22.83374495161246,0.6781031640834494,0.13575076176895237,0.14295208919041644,0.14295208919041638,0.10558392582029634,uMod,False,19.22782206794217,30.0,64.0927402264739,10.77217793205783,False,False,
