timestamp,P_A_kW,status_A,mode_A,comfort_violation_A,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,P_B_kW,SOC_B,TES_mode_B,comfort_violation_B,T_core_B,P_total_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,P_A_ref_kW,P_B_ref_kW,SOC_B_target,attack_active
18405000,4.615363917053651e-11,normal,nominal,0.3064825946687364,26.04785979173323,26.233169338615653,25.947498923929288,26.297854762886743,26.64704648543932,0.0,0.21195640108298086,0,0.5051097490894563,24.880062153301083,4.615363917053651e-11,9.230727834107303e-11,49.99999999995384,False,8.000000070335256,12.000000019697062,0.6,False
18405900,4.6069523544800065e-11,normal,nominal,0.29041558294883885,26.040529464355586,26.217336073706576,25.93491888834086,26.276785886201992,26.6270109075312,0.0,0.21195640108298086,0,0.46838604640186077,24.873900034482233,4.6069523544800065e-11,9.213904708960014e-11,49.99999999995393,False,8.000000070335256,12.000000019697062,0.6,False
18406800,4.6014700773686206e-11,normal,nominal,0.2741600456487703,26.033238078888473,26.201504948209333,25.922365136661824,26.252614598648393,26.609282556848882,0.0,0.21195640108298086,0,0.4303247938441359,24.86780970593918,4.6014700773686206e-11,9.202940154737242e-11,49.999999999953985,False,8.000000070335256,12.000000019697062,0.6,False
18407700,4.6121860145674066e-11,normal,nominal,0.2578380110672498,26.025699972734287,26.185400354274236,25.909532979555365,26.226829117931402,26.593422599329074,0.0,0.21195640108298086,0,0.3993855154268431,24.861467421061832,4.6121860145674066e-11,9.224372029134812e-11,49.99999999995388,False,8.000000070335256,12.000000019697062,0.6,False
18408600,4.6337607089055376e-11,normal,nominal,0.24165380059082509,26.017952684285433,26.169008006809577,25.896497332085687,26.201504022470317,26.578150488797974,0.0,0.21195640108298086,0,0.3858196685784492,24.854816101334052,4.6337607089055376e-11,9.267521417811075e-11,49.999999999953666,False,8.000000070335256,12.000000019697062,0.6,False
18409500,4.6498465598043176e-11,normal,nominal,0.22573687249557395,26.01027177270163,26.152659809659554,25.88355648030972,26.178514648913165,26.56150125870795,0.0,0.21195640108298086,0,0.3711928272575733,24.848290385120663,4.6498465598043176e-11,9.299693119608635e-11,49.9999999999535,False,8.000000070335256,12.000000019697062,0.6,False
18410400,4.67332483906654e-11,normal,nominal,0.20890714441209468,26.002341216041543,26.13702151082407,25.87137299062465,26.155393593440465,26.5408722573423,0.0,0.21195640108298086,0,0.35321008929298614,24.841715768068127,4.67332483906654e-11,9.34664967813308e-11,49.99999999995327,False,8.000000070335256,12.000000019697062,0.6,False
18411300,4.707695892778335e-11,normal,nominal,0.19209080112041477,25.99374229178693,26.123620033197028,25.861493102462475,26.12917709278571,26.51556607849892,0.0,0.21195640108298086,0,0.33123696822696047,24.834918423457452,4.707695892778335e-11,9.41539178555667e-11,49.99999999995293,False,8.000000070335256,12.000000019697062,0.6,False
18412200,4.731098716017136e-11,normal,nominal,0.17625441328532077,25.985505575510842,26.112334719627768,25.85370968485705,26.105040182732523,26.487642750780992,0.0,0.21195640108298086,0,0.30708287297125025,24.828855947652585,4.731098716017136e-11,9.462197432034271e-11,49.99999999995269,False,8.000000070335256,12.000000019697062,0.6,False
18413100,4.746481865077341e-11,normal,nominal,0.16212029456566768,25.978089083954046,26.101574520051884,25.846281836020694,26.085713625720814,26.461193032489973,0.0,0.21195640108298086,0,0.28420804091820173,24.82362344149709,4.746481865077341e-11,9.492963730154682e-11,49.999999999952536,False,8.000000070335256,12.000000019697062,0.6,False
18414000,4.751318523367862e-11,normal,nominal,0.149260049543102,25.97126355750413,26.08933513337223,25.837165085705692,26.068146467607562,26.439558597192615,0.0,0.21195640108298086,0,0.26553008764676633,24.81879981471559,4.751318523367862e-11,9.502637046735725e-11,49.999999999952486,False,8.000000070335256,12.000000019697062,0.6,False
18414900,4.744464907196126e-11,normal,nominal,0.13657243642938965,25.96458688731377,26.07431408094419,25.825200903211453,26.048704238933,26.42327142584037,0.0,0.21195640108298086,0,0.2516105497487615,24.814154101209226,4.744464907196126e-11,9.488929814392252e-11,49.99999999995256,False,8.000000070335256,12.000000019697062,0.6,False
18415800,4.7357989345321896e-11,normal,nominal,0.12516265310252095,25.95839635556399,26.057747430862037,25.81211602782963,26.029718768829696,26.41318441271835,0.0,0.21195640108298086,0,0.24354626786754352,24.810118287844716,4.7357989345321896e-11,9.47159786906438e-11,49.99999999995264,False,8.000000070335256,12.000000019697062,0.6,False
18416700,4.740682182502782e-11,normal,nominal,0.11773231852372135,25.953762768926765,26.04223469536612,25.801145258844883,26.017429995981843,26.411264582746924,0.0,0.21195640108298086,0,0.24214688255602823,24.806649143871255,4.740682182502782e-11,9.481364365005564e-11,49.99999999995259,False,8.000000070335256,12.000000019697062,0.6,False
18417600,4.739644168197767e-11,normal,nominal,0.11543991283897981,25.950703169805706,26.030027386843642,25.79389108534042,26.020144092056228,26.41158817245605,9.01744131578741,0.219101309901218,-1,0.24049982006675918,24.802938330123368,9.017441315834807,18.034882631669614,40.98255868416519,False,8.000000070335256,12.000000019697062,0.6,False
18418500,4.463300845756773e-11,normal,nominal,0.12536595970293263,25.959180593680856,25.999936612188037,25.793992979022164,26.095876731439546,26.405587107372185,8.799441864761254,0.22809817241144256,-1,0.23470431948953774,24.80987564811744,8.799441864805887,17.598883729611774,41.200558135194115,False,8.000000070335256,12.000000019697062,0.6,False
18419400,1.1805425783037527e-12,normal,nominal,0.13344261985969297,25.96954889914099,26.02291682906406,25.79804113552757,26.1068213176448,26.404032332729912,0.0,0.22929775407945083,0,0.23231071134659942,24.818405460552754,1.1805425783037527e-12,2.3610851566075054e-12,49.99999999999882,False,8.000000070335256,12.000000019697062,0.6,False
18420300,4.1830250149049823e-22,normal,nominal,0.14176465604583655,25.977312773567405,26.05955043860962,25.815930969652015,26.105000117880707,26.40250806769302,0.0,0.22929775407945083,0,0.23125857303517705,24.826518175185583,4.1830250149049823e-22,8.366050029809965e-22,50.0,False,8.000000070335256,12.000000019697062,0.6,False
18421200,9.95192330457564e-71,normal,nominal,0.1558012863445697,25.987040350237237,26.11378399040717,25.837807328143583,26.10657093700536,26.40285021796575,8.787522344184731,0.2370950349213816,-1,0.23149601196746517,24.834700722529476,8.787522344184731,17.575044688369463,41.21247765581527,False,8.000000070335256,12.000000019697062,0.6,False
18422100,3.1920767184430122e-27,normal,nominal,0.1756216603153007,26.000590363124275,26.184741699782137,25.863058005014295,26.11122416696702,26.40593041138777,8.786594889322581,0.24609189743135299,-1,0.23441849406265192,24.84676966082924,8.786594889322581,17.573189778645162,41.21340511067742,False,8.000000070335256,12.000000019697062,0.6,False
18423000,3.223233577427078e-62,normal,nominal,0.20383059073520826,26.017635042997654,26.266209693201347,25.88983433247904,26.119206293562172,26.41227133317966,0.0,0.2460918974333995,0,0.30072910159805133,24.863188268958652,3.223233577427078e-62,6.446467154854156e-62,50.0,False,8.000000070335256,12.000000019697062,0.6,False
18423900,3.5467519093811267e-28,normal,nominal,0.23964869271394207,26.039818135280598,26.36091921042157,25.921486183268087,26.1335436123627,26.4243138127909,0.0,0.2460918974333995,0,0.4106996287180209,24.885014102234777,3.5467519093811267e-28,7.093503818762253e-28,50.0,False,8.000000070335256,12.000000019697062,0.6,False
18424800,5.194487645706891e-92,normal,nominal,0.28383088793262345,26.066626814460392,26.470745053843416,25.95679104775462,26.155439389052844,26.44251229437384,2.736076441720617,0.24469684517113105,1,0.0,23.9489713464244,2.736076441720617,5.472152883441234,47.26392355827938,False,8.000000070335256,12.000000019697062,0.6,False
