time_s,hour,agg_mode,theta,P_A_alloc,P_B_alloc,P_total_alloc,support_flag,P_A_kW,alpha_attack,Tz_A_core,Tz_A_east,Tz_A_north,Tz_A_south,Tz_A_west,comfort_viol_A,mode_A,P_B_kW,SOC_B,uMod_B,Tz_B_core,comfort_viol_B,P_total_kW
9900.0,2.75,NORMAL,0,0.6308858470876498,42.36911415291235,43.0,False,0.5,0.0,26.293936231480984,26.17274792320548,26.15943751897499,26.18738840717858,26.185891626939167,0.0,NOMINAL,12.0,0.635,2,23.769496272772802,0.0,12.5
10800.0,3.0,NORMAL,0,0.5991200929613548,42.40087990703864,43.0,False,0.5,0.0,26.419278817547795,26.3143000727638,26.27658940170699,26.335646902994846,26.27880564600264,0.0,NOMINAL,12.0,0.635,2,24.077768529794263,0.0,12.5
11700.0,3.25,NORMAL,0,0.5768840650729483,42.423115934927054,43.0,False,0.5,0.0,26.499153060401373,26.448124252424265,26.351431934507122,26.409574970145272,26.319141720912757,0.0,NOMINAL,12.0,0.635,2,24.077768529794263,0.0,12.5
12600.0,3.5,NORMAL,0,0.5613188455510638,42.438681154448936,43.0,False,0.5,0.0,26.583336618043656,26.520436925539848,26.497889675325062,26.50556809162387,26.409742834833132,0.0,NOMINAL,12.0,0.635,2,24.077768529794263,0.0,12.5
13500.0,3.75,NORMAL,0,0.5504231918857446,42.44957680811426,43.0,False,0.5,0.0,26.67872591952141,26.557083084047,26.57791921240929,26.523138202593213,26.43552499668011,0.0,NOMINAL,12.0,0.635,2,24.077768529794263,0.0,12.5
14400.0,4.0,NORMAL,0,0.5427962343200212,42.45720376567998,43.0,False,0.5,0.0,26.726205418702985,26.594947616862544,26.64754597284896,26.620403905817593,26.47840544463866,0.0,NOMINAL,12.0,0.635,2,24.22656546844311,0.0,12.5
15300.0,4.25,NORMAL,0,0.5374573640240149,42.462542635975986,43.0,False,0.5,0.0,26.75799686518229,26.634909154968295,26.69716793123234,26.697168964844387,26.542189996096837,0.0,NOMINAL,12.0,0.635,2,24.22656546844311,0.0,12.5
16200.0,4.5,NORMAL,0,0.5337201548168105,42.46627984518319,43.0,False,0.5,0.0,26.76052062974477,26.60660629563106,26.76669329093013,26.691909824427167,26.55421377978016,0.0,NOMINAL,12.0,0.635,2,24.22656546844311,0.0,12.5
17100.0,4.75,NORMAL,0,0.5311041083717672,42.468895891628236,43.0,False,0.5,0.0,26.773231246871184,26.563617602890638,26.830989571069722,26.692417166857915,26.559799649996872,0.0,NOMINAL,12.0,0.635,2,24.22656546844311,0.0,12.5
18000.0,5.0,NORMAL,0,0.5292728758602371,42.47072712413976,43.0,False,0.5,0.0,26.77387955599972,26.57938917353529,26.841646945307964,26.675090016856224,26.53384151524443,0.0,NOMINAL,12.0,0.635,2,24.345564263651802,0.0,12.5
18900.0,5.25,NORMAL,0,0.527991013102166,42.47200898689783,43.0,False,0.5,0.0,26.772470977797113,26.585692559689033,26.78274408143103,26.61027364828055,26.528735930841098,0.0,NOMINAL,12.0,0.635,2,24.345564263651802,0.0,12.5
19800.0,5.5,NORMAL,0,0.5270937091715162,42.47290629082848,43.0,False,0.5,0.0,26.729556037989912,26.523256714987316,26.73457084884301,26.545844369989595,26.550608102536852,0.0,NOMINAL,12.0,0.635,2,24.345564263651802,0.0,12.5
20700.0,5.75,NORMAL,0,0.5264655964200613,42.47353440357994,43.0,False,0.5,0.0,26.701410288432047,26.450701854785134,26.659309634127656,26.47447417306477,26.505585558219853,0.0,NOMINAL,12.0,0.635,2,24.345564263651802,0.0,12.5
21600.0,6.0,NORMAL,0,0.5260259174940429,42.473974082505954,43.0,False,0.5,0.0,26.616946688180803,26.433111488519135,26.57687277759866,26.445189449026046,26.46449969232359,0.0,NOMINAL,3.0,0.5016666666666667,1,24.40754805132144,1.7056074636344682,3.5
